"Age","LuminSF"
1737,0.49
1738,-0.47
1739,1.36
1740,-1.36
1741,0.73
1742,-0.73
1743,-0.54
1744,-0.43
1745,1.5
1746,-0.77
1747,0.35
1748,0.06
1749,0.55
1750,-0.6
1751,-0.86
1752,-0.74
1753,0.83
1754,2.72
1755,0.86
1756,0.7
1757,0.54
1758,1.44
1759,1.21
1760,0.61
1761,1.67
1762,-1.33
1763,-0.21
1764,0.35
1765,2.68
1766,-0.34
1767,-1.1
1768,0.23
1769,2.71
1770,-0.45
1771,-0.55
1772,-0.79
1773,-0.36
1774,-0.44
1775,-0.45
1776,-0.5
1777,-0.54
1778,-1.34
1779,-1.2
1780,0.44
1781,-0.63
1782,-0.25
1783,-0.45
1784,-0.5
1785,-1.56
1786,0.24
1787,0.78
1788,1.03
1789,-0.39
1790,0.41
1791,-0.32
1792,-0.27
1793,0.54
1794,-0.34
1795,1.37
1796,-0.42
1797,-0.67
1798,-0.68
1799,-0.9
1800,-0.85
1801,1
1802,-0.63
1803,-0.48
1804,0.02
1805,-0.33
1806,0.12
1807,-0.51
1808,-0.34
1809,-0.18
1810,0.06
1811,-0.59
1812,-0.63
1813,-1.74
1814,-0.08
1815,-0.28
1816,-0.64
1817,0.99
1818,0.77
1819,0.99
1820,0.17
1821,-1.42
1822,-0.58
1823,-0.28
1824,-1.61
1825,2.38
1826,1.6
1827,0.25
1828,-0.98
1829,-0.57
1830,0.21
1831,0.71
1832,-1.24
1833,-0.25
1834,-0.24
1835,0.13
1836,-0.67
1837,-1.13
1838,1.42
1839,-1.2
1840,0.03
1841,0.13
1842,-0.8
1843,-0.78
1844,-0.59
1845,-0.4
1846,-0.35
1847,-0.1
1848,0.66
1849,-0.79
1850,-0.38
1851,-1.4
1852,-0.22
1853,-1.25
1854,-0.57
1855,-0.55
1856,-0.29
1857,-0.24
1858,-1.57
1859,2.12
1860,0.59
1861,-0.3
1862,-0.89
1863,-0.01
1864,0.77
1865,-1.59
1866,-1.16
1867,-1.74
1868,-0.49
1869,-1
1870,0.83
1871,-0.65
1872,-0.26
1873,1.2
1874,0.94
1875,1.95
1876,1.02
1877,0.81
1878,0.12
1879,-0.26
1880,0.67
1881,0.72
1882,2.26
1883,-0.12
1884,-0.07
1885,0.14
1886,-1.15
1887,3.16
1888,-1.19
1889,-0.96
1890,2.7
1891,2.12
1892,-0.7
1893,0.04
1894,1.35
1895,1.32
1896,1.52
1897,-0.42
1898,1.48
1899,0.93
1900,-1.51
1901,-0.26
1902,-1.93
1903,0.3
1904,-0.93
1905,-0.52
1906,1.36
1907,-0.43
1908,-0.27
1909,-0.42
1910,1.78
1911,0.36
1912,-0.22
1913,0.93
1914,0.38
1915,-1.13
1916,-0.56
1917,0.77
1918,1.2
1919,-0.74
1920,-0.75
1921,-0.77
1922,0.05
1923,-1.12
1924,-0.47
1925,-0.37
1926,-0.42
1927,0.16
1928,-0.15
1929,-0.15
1930,0.42
1931,-1.47
1932,-0.98
1933,-1.14
1934,-0.3
1935,0
1936,0.45
1937,0.66
1938,-1.34
1939,-0.53
1940,2.38
1941,0.88
1942,-0.12
1943,-0.62
1944,-0.08
1945,0.1
1946,0.26
1947,0.55
1948,-0.82
1949,-0.28
1950,0.69
1951,-0.53
1952,-0.93
1953,-0.26
1954,0.06
1955,1.78
1956,2.62
1957,-0.08
1958,1.87
1959,-0.21
1960,-0.26
1961,-0.03
1962,-0.47
1963,0.76
1964,-1.58
1965,-1.01
1966,-1.3
1967,-0.2
1968,1.13
1969,-1.5
1970,-0.93
1971,-0.14
1972,0.72
1973,-0.47
1974,2.88
1975,0.44
1976,0.93
1977,1.62
1978,-0.11
1979,0.72
1980,-1.03
