Age,d14C
1946,-47.3
1946.8,-48.8
1947.2,-47
1947.6,-43.4
1948,-46.8
1948.5,-47.6
1949,-48.8
1949.6,-45.4
1950,-47.1
1950.4,-45
1950.8,-48.3
1951.1,-49.4
1951.5,-48.2
1951.8,-52.9
1952,-52.4
1952.2,-49.1
1952.5,-45.7
1952.7,-53.4
1952.9,-55.7
1953.1,-55.9
1953.3,-56.9
1953.6,-51
1953.8,-56.5
1954,-53.7
1954.2,-60.2
1954.4,-53.5
1954.6,-61.8
1954.8,-51.7
1955.1,-57.7
1955.3,-53.8
1955.6,-52.2
1955.8,-53.8
1956.1,-48.7
1956.4,-47.2
1956.7,-58.7
1957.1,-45.4
1957.4,-51.8
1957.8,-51.1
1958,-43
1958.3,-45.5
1958.5,-48.1
1958.8,-35.5
1959,-37.9
1959.4,-36.3
1959.7,-32.3
1960,-26.7
1960.4,-27
1960.8,-25.4
1961.2,-14.9
1961.5,-15.7
1961.9,-16.7
1962.2,-10
1962.5,-9.3
1962.9,-4.2
1963.2,2.7
1963.5,8.4
1963.9,9.8
1964.2,27.3
1964.5,29.5
1964.9,41.7
1965.1,62.1
1965.4,56.5
1965.7,50.9
1966,61.2
1966.2,72.2
1966.5,62.9
1966.7,67.1
1967,78
1967.3,87.3
1967.5,93.2
1967.8,98.3
1968.1,100.2
1968.4,101.8
1968.7,NA
1969,101.2
1969.3,105
1969.5,104.9
1969.8,NA
1970,NA
1970.2,104.8
1970.5,111.2
1970.7,106.5
1971,113.4
1971.2,111.5
1971.5,117.2
1971.7,115.7
1971.9,NA
1972.2,120.4
1972.4,119.8
1972.6,116.6
1972.9,116.6
1973.1,133.8
1973.4,120.1
1973.6,124.6
1973.8,119.2
1974.1,128.5
1974.3,134.8
1974.5,136.5
1974.7,132.8
1974.9,130.1
1975.1,136.2
1975.3,124.1
1975.5,133.2
1975.8,132.1
1976.1,129.6
1976.4,132.8
1976.6,131.3
1976.8,136.8
1976.9,134.5
1977.1,132.4
1977.2,125.4
1977.4,127
1977.5,118.7
1977.7,124.7
1977.9,118.2
1978.1,130.6
1978.3,128.5
1978.4,129.9
1978.6,118.9
1978.8,131.6
1978.9,136.5
1979.1,125.2
1979.2,134.2
1979.5,137.4
1979.7,135.7
1980,136.4
1980.2,132.7
1980.4,129
1980.6,131.9
1980.9,137.4
1981.1,129.7
1981.4,132.4
1981.6,130.9
1981.9,133.3
1982.1,136.9
1982.4,139.3
1982.7,136.2
1983,137.9
1983.3,134
1983.6,127.9
1983.8,131.8
1984.1,124.2
1984.3,124.4
1985,125.2
1985.3,137.7
1985.6,132
1985.9,130.5
1986.2,137.1
1986.5,131
1986.7,122.3
1986.9,127.7
1987,127.1
1987.2,131.6
1987.4,130.4
1987.6,121.6
1987.8,126.3
1988,117.5
1988.2,123.6
1988.3,121.5
1988.5,122
1988.7,117.8
1989,119.5
1989.2,120.9
1989.4,114.6
1989.6,121.7
1989.8,120.5
1990,NA
1990.2,126
1990.4,117.1
1990.6,117.9
1990.8,113.4
1991,115.8
1991.2,112.6
1991.5,114.7
1991.7,110
1991.8,109.2
1992,107.6
1992.2,112
1992.4,110.2
1992.5,105.6
1992.8,114
1993,112.9
1993.2,109.8
1993.5,103.5
1993.7,110
1993.9,106.2
1994.1,105.5
1994.3,106.5
1994.5,103.4
1994.8,99.1
1995,104.4
1995.2,102
1995.5,97.7
1995.7,101.9
1996,102.3
1996.2,101.4
1996.5,100.8
1996.8,102.3
1997.2,94.3
1997.6,94.4
1997.9,95.9
1998.1,88.3
1998.4,95.3
1998.7,101.6
1998.9,81.6
1999.1,95.5
1999.3,91.7
1999.5,98
1999.7,92.3
2000,90.5
2000.2,88.8
2000.5,85.9
2000.8,88.9
2001.1,87.7
2001.3,83.1
2001.6,81.4
2001.8,88.2
2002,85
2002.2,80.6
2002.4,77.7
2002.6,82.6
2002.8,83.6
2003,80.9
2003.1,83.4
2003.3,72.9
2003.5,79.5
2003.7,74.6
2003.9,71.4
2004.1,72.1
2004.3,71.5
2004.6,73.9
2004.8,70.1
2005.1,58.4
2005.3,65.6
2005.6,53.9
2005.8,64.6
2006.1,66.2
2006.3,54.2
2006.6,70.7
2006.9,45
2007.1,53.6
2007.4,59.1
2007.7,54.3
2008,57.8
2008.3,49.6
2008.5,NA
2008.8,56.5
2009.1,59.8
2009.4,53
2009.6,52.4
2009.8,53.1
2010,53.7
2010.2,64.9
2010.4,54.3
2010.6,54.8
2010.8,51.1
2010.9,51.8
2011.1,50
2011.2,54.4
2011.4,46.3
2011.6,55
2011.8,52.7
2012,56.4
2012.3,47.2
2012.5,50.7
2012.8,47.7
2013.1,47.4
2013.3,45.7
2013.6,48.2
2013.8,48.4
2014,44.5
2014.2,47.7
2014.5,46.9
2014.7,43.7
2014.9,48.9
2015.1,51.6
2015.4,52.1
2015.6,45.9
2015.7,45.3
2015.8,43.8
2016,47.1
2016.1,50.8
2016.2,45.4
2016.3,42.8
2016.5,41.2
2016.6,43
2016.7,44.5
2016.9,43.8
2017,41.1
2017.2,41.5
2017.3,45.1
2017.5,40.3
2017.6,44.6
